# 2026-09-26 02:55:10 UTC (L) lock=/tmp/ts-spike/bench.lock GOEXPERIMENT= go test -run ^$ -bench ^Benchmark(RetryAfter|Backoff|Loopback)$ -benchmem -count=10 .
# load before:  02:55:10 up 1 day, 22:20,  3 users,  load average: 0.13, 0.95, 1.20 | kernel: 0.13 0.95 1.20 1/617 414898 (MAXLOAD=44, waited 0 x 60 s)
# base: 1ca60e1
go version go1.27.1 linux/amd64
[goexperiment.regabiwrappers goexperiment.regabiargs goexperiment.dwarf5 goexperiment.jsonv2 goexperiment.greenteagc goexperiment.randomizedheapbase64 goexperiment.sizespecializedmalloc amd64.v1]
goos: linux
goarch: amd64
pkg: github.com/zchee/typesafe-sdk-go
cpu: Intel(R) Xeon(R) Platinum 8481C CPU @ 2.70GHz
BenchmarkBackoff/retry-6-44                 	13817742	        86.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-44              	13831260	        86.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-44              	13807911	        86.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-44              	13830573	        86.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-44              	13753006	        86.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-44              	13808814	        86.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-44              	13804628	        86.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-44              	13815750	        86.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-44              	13820336	        86.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-44              	13805338	        86.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/retry-1000-44              	13780228	        86.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-44                	 6202261	       191.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-44                	 6439287	       186.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-44                	 6403622	       186.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-44                	 6396732	       190.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-44                	 6507324	       183.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-44                	 6139420	       192.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-44                	 6284961	       190.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-44                	 6327919	       191.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-44                	 6413798	       189.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkBackoff/schedule-44                	 6294014	       188.5 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/zchee/typesafe-sdk-go	108.325s
# exit 0 at 2026-09-26 02:57:00 UTC
# load after:  02:57:00 up 1 day, 22:21,  3 users,  load average: 0.92, 1.00, 1.18 | kernel: 0.92 1.00 1.18 1/619 415245
