goos: darwin
goarch: arm64
pkg: github.com/zchee/typesafe-sdk-go/internal/codec
cpu: Apple M3 Max
BenchmarkEncodeState/cjk/1KiB/check-16            	 2822614	       423.1 ns/op	2387.40 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/1KiB/check-16            	 2823012	       428.9 ns/op	2355.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/1KiB/check-16            	 2836174	       426.6 ns/op	2367.67 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/1KiB/check-16            	 2804382	       427.2 ns/op	2364.36 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/1KiB/check-16            	 2833706	       423.8 ns/op	2383.02 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/1KiB/check-16            	 2818795	       422.6 ns/op	2390.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/64KiB/encode-16          	   39109	     31047 ns/op	2110.38 MB/s	      17 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/64KiB/encode-16          	   39376	     30828 ns/op	2125.38 MB/s	      21 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/64KiB/encode-16          	   39073	     30737 ns/op	2131.67 MB/s	      25 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/64KiB/encode-16          	   38152	     31463 ns/op	2082.51 MB/s	      25 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/64KiB/encode-16          	   38170	     31130 ns/op	2104.78 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/64KiB/encode-16          	   38709	     31388 ns/op	2087.48 MB/s	      21 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/64KiB/encode-16          	   38371	     31202 ns/op	2099.92 MB/s	      21 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/64KiB/encode-16          	   39056	     30882 ns/op	2121.72 MB/s	      21 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/64KiB/encode-16          	   39031	     30512 ns/op	2147.43 MB/s	      21 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/64KiB/encode-16          	   39336	     30424 ns/op	2153.64 MB/s	      16 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/64KiB/check-16           	   44134	     27078 ns/op	2419.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/64KiB/check-16           	   44528	     27468 ns/op	2385.39 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/64KiB/check-16           	   43936	     26884 ns/op	2437.20 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/64KiB/check-16           	   44101	     27432 ns/op	2388.52 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/64KiB/check-16           	   43368	     27456 ns/op	2386.43 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/64KiB/check-16           	   43945	     27327 ns/op	2397.71 MB/s	       0 B/op	       0 allocs/op
